fra;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-08-14;34;35;69;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-14;17;8;25;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-14;1839;2035;3884;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-15;6;10;16;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-15;43;31;74;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-15;114;124;238;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-15;78;58;136;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-15;36;58;94;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-15;30;43;73;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-15;26;20;46;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-15;16;34;50;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-15;15;11;26;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-15;10;5;15;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-15;374;394;770;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-16;17;9;26;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-16;42;21;64;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-16;108;106;214;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-16;59;61;120;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-16;39;47;86;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-16;35;32;67;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-16;26;22;48;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-16;11;15;26;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-16;12;10;22;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-16;13;3;16;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-16;362;326;689;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-17;80;62;144;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-17;278;268;548;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-17;778;860;1640;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-17;452;515;967;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-17;313;335;648;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-17;259;256;516;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-17;166;153;319;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-17;59;72;131;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-17;39;42;82;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-17;24;4;28;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-17;2448;2567;5025;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-18;70;61;133;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-18;257;216;475;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-18;761;831;1593;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-18;418;472;891;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-18;289;341;630;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-18;247;251;499;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-18;140;138;279;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-18;52;74;126;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-18;44;29;73;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-18;29;8;37;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-18;2307;2421;4738;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-19;72;63;138;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-19;254;238;492;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-19;803;889;1694;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-19;390;458;850;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-19;292;322;614;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-19;273;250;523;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-19;151;149;300;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-19;71;66;137;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-19;41;36;77;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-19;19;8;27;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-19;2368;2480;4855;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-20;85;90;181;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-20;302;291;597;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-20;842;916;1759;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-20;415;483;898;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-20;311;297;608;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-20;277;255;532;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-20;148;169;319;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-20;67;73;140;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-20;35;34;70;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-20;25;9;34;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-20;2508;2617;5139;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-21;69;78;148;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-21;324;314;642;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-21;799;905;1706;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-21;447;510;957;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-21;308;305;616;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-21;270;252;522;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-21;136;158;294;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-21;66;73;139;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-21;52;22;74;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-21;27;7;34;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-21;2499;2627;5139;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-22;30;35;65;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-22;137;123;260;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-22;373;424;798;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-22;155;198;353;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-22;130;149;279;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-22;109;122;231;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-22;57;61;118;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-22;29;46;75;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-22;20;24;44;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-22;10;4;14;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-22;1051;1186;2239;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-23;8;11;19;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-23;65;39;104;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-23;176;189;367;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-23;79;116;195;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-23;54;63;117;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-23;27;42;69;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-23;32;39;71;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-23;16;25;41;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-23;10;7;17;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-23;6;2;8;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-23;473;533;1008;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-24;102;91;198;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-24;411;363;777;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-24;1163;1173;2338;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-24;603;626;1230;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-24;449;466;916;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-24;352;408;761;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-24;197;196;393;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-24;111;111;223;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-24;61;51;113;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-24;27;7;34;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-24;3478;3492;6986;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-25;89;99;194;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-25;415;425;847;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-25;1115;1161;2279;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-25;562;621;1185;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-25;408;419;827;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-25;369;335;705;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-25;220;209;429;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-25;97;102;199;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-25;56;41;97;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-25;22;11;33;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-25;3357;3426;6805;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-26;96;96;195;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-26;394;344;744;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-26;1141;1164;2309;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-26;567;649;1222;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-26;411;377;790;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-26;352;301;656;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-26;211;205;416;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-26;94;83;178;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-26;60;43;104;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-26;41;9;50;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-26;3368;3274;6683;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-27;116;128;245;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-27;478;399;879;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-27;1226;1336;2567;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-27;666;700;1367;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-27;465;401;867;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-27;372;335;709;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-27;190;210;400;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-27;103;99;202;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-27;79;41;120;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-27;42;12;54;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-27;3738;3661;7414;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-28;139;133;280;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-28;496;440;945;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-28;1206;1176;2387;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-28;654;738;1393;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-28;484;448;939;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-28;437;338;777;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-28;235;223;460;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-28;123;137;261;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-28;69;45;114;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-28;50;12;62;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-28;3894;3692;7626;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-29;48;42;95;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-29;197;185;385;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-29;516;461;977;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-29;267;276;544;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-29;156;164;320;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-29;187;151;338;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-29;95;92;187;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-29;51;49;100;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-29;33;19;52;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-29;17;5;22;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-29;1567;1446;3022;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-30;21;22;43;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-30;78;77;155;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-30;214;214;429;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-30;122;131;253;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-30;94;71;165;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-30;62;57;119;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-30;34;27;61;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-30;16;27;43;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-30;18;13;31;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-30;15;2;17;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-30;674;641;1317;34692807.7476749;32422187.2523251;0;67114995
FR;2020-08-31;151;168;329;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-08-31;657;559;1230;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-08-31;1456;1540;3002;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-08-31;798;849;1650;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-08-31;625;563;1192;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-08-31;557;403;962;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-08-31;323;319;642;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-08-31;143;147;290;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-08-31;66;53;121;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-08-31;50;20;70;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-08-31;4828;4623;9492;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-01;130;119;253;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-01;610;578;1202;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-01;1350;1430;2785;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-01;770;750;1521;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-01;572;544;1122;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-01;512;431;945;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-01;264;264;529;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-01;135;148;283;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-01;102;67;170;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-01;31;15;46;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-01;4480;4347;8863;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-02;131;159;303;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-02;607;571;1184;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-02;1424;1503;2932;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-02;770;846;1618;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-02;550;520;1074;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-02;501;442;944;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-02;280;280;562;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-02;103;135;239;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-02;89;65;154;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-02;44;21;65;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-02;4500;4544;9079;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-03;185;170;359;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-03;590;560;1160;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-03;1481;1504;3004;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-03;928;907;1840;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-03;638;592;1234;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-03;547;489;1038;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-03;302;276;581;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-03;127;164;291;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-03;95;81;176;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-03;66;18;84;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-03;4963;4762;9773;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-04;215;229;453;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-04;706;650;1371;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-04;1381;1401;2791;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-04;871;873;1752;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-04;692;579;1272;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-04;578;551;1130;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-04;343;351;698;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-04;171;164;337;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-04;110;80;190;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-04;69;22;91;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-04;5141;4902;10095;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-05;92;93;189;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-05;326;229;558;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-05;586;538;1127;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-05;297;304;601;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-05;302;244;546;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-05;232;220;452;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-05;125;129;257;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-05;80;71;151;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-05;78;39;117;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-05;43;12;56;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-05;2161;1879;4054;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-06;21;28;50;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-06;98;105;204;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-06;203;198;402;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-06;114;118;232;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-06;98;88;186;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-06;71;72;144;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-06;52;48;100;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-06;32;33;65;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-06;34;28;62;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-06;22;4;26;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-06;745;722;1471;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-07;292;248;555;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-07;815;803;1646;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-07;1656;1677;3344;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-07;1062;929;1996;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-07;869;724;1598;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-07;804;624;1432;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-07;407;411;826;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-07;236;218;454;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-07;160;101;262;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-07;115;38;153;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-07;6418;5775;12272;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-08;284;270;573;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-08;784;758;1566;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-08;1670;1657;3331;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-08;983;884;1875;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-08;830;690;1522;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-08;747;622;1372;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-08;383;363;748;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-08;170;172;342;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-08;130;97;227;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-08;87;23;110;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-08;6070;5537;11669;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-09;236;257;510;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-09;776;839;1640;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-09;1566;1604;3185;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-09;893;849;1747;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-09;790;705;1503;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-09;678;598;1278;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-09;354;348;705;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-09;203;193;398;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-09;128;104;232;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-09;107;32;139;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-09;5735;5530;11346;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-10;260;289;558;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-10;836;873;1721;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-10;1620;1604;3232;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-10;1007;935;1946;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-10;841;731;1574;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-10;726;649;1381;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-10;400;394;795;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-10;208;200;408;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-10;171;99;273;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-10;133;38;171;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-10;6204;5812;12061;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-11;278;280;566;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-11;837;836;1692;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-11;1398;1373;2776;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-11;943;826;1773;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-11;843;709;1553;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-11;717;637;1356;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-11;397;357;756;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-11;218;212;431;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-11;145;108;254;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-11;97;27;124;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-11;5876;5368;11289;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-12;87;87;176;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-12;316;334;656;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-12;614;574;1191;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-12;338;297;636;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-12;310;293;604;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-12;252;263;515;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-12;143;153;296;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-12;99;111;210;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-12;69;68;137;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-12;48;24;72;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-12;2277;2205;4495;34692807.7476749;32422187.2523251;0;67114995
FR;2020-09-13;40;33;73;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-09-13;92;89;182;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-09-13;212;190;402;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-09-13;129;121;250;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-09-13;95;80;176;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-09-13;76;98;174;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-09-13;52;58;111;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-09-13;42;52;94;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-09-13;38;35;73;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-09-13;20;9;29;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-09-13;796;766;1565;34692807.7476749;32422187.2523251;0;67114995
