reg;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
24;2020-S22;1;2;3;180;211;401;09;284406
24;2020-S22;4;3;7;296;287;587;19;314164
24;2020-S22;12;10;23;609;494;1106;29;248773
24;2020-S22;11;8;19;673;449;1124;39;292368
24;2020-S22;12;13;25;664;473;1137;49;320587
24;2020-S22;7;8;15;757;530;1288;59;340563
24;2020-S22;9;10;19;587;543;1130;69;330686
24;2020-S22;7;5;12;494;541;1035;79;240021
24;2020-S22;11;4;15;601;406;1007;89;144224
24;2020-S22;12;4;16;353;153;506;90;43281
24;2020-S22;86;67;154;5214;4088;9322;0;2559073
27;2020-S22;1;1;2;227;274;502;09;293052
27;2020-S22;1;0;1;314;269;584;19;333965
27;2020-S22;6;3;9;744;479;1223;29;276000
27;2020-S22;4;5;9;793;492;1285;39;315411
27;2020-S22;4;3;7;846;555;1401;49;341897
27;2020-S22;9;5;14;937;601;1538;59;373767
27;2020-S22;3;2;5;696;721;1418;69;370797
27;2020-S22;3;9;12;658;694;1352;79;274422
27;2020-S22;10;8;18;798;547;1345;89;158471
27;2020-S22;7;1;8;483;152;635;90;45257
27;2020-S22;48;37;86;6498;4785;11287;0;2783039
28;2020-S22;0;4;4;233;287;526;09;367591
28;2020-S22;1;2;3;271;357;633;19;413746
28;2020-S22;4;3;7;588;443;1033;29;341929
28;2020-S22;3;1;4;638;455;1094;39;385115
28;2020-S22;2;0;2;593;451;1044;49;407095
28;2020-S22;5;3;8;668;568;1237;59;435868
28;2020-S22;3;2;5;656;670;1328;69;428446
28;2020-S22;1;1;2;561;599;1160;79;298735
28;2020-S22;5;4;9;563;438;1003;89;175068
28;2020-S22;6;1;7;314;135;449;90;49907
28;2020-S22;30;21;51;5085;4403;9507;0;3303500
32;2020-S22;13;7;20;578;671;1252;09;731751
32;2020-S22;18;32;50;673;759;1434;19;793787
32;2020-S22;36;21;58;1843;1247;3101;29;690891
32;2020-S22;36;19;55;2023;1506;3532;39;752457
32;2020-S22;45;24;69;2061;1702;3769;49;759226
32;2020-S22;34;18;52;1918;1528;3451;59;763464
32;2020-S22;17;19;36;1454;1434;2889;69;702149
32;2020-S22;26;19;45;1131;1229;2361;79;452001
32;2020-S22;55;21;77;1308;723;2033;89;253185
32;2020-S22;44;6;50;788;212;1000;90;63751
32;2020-S22;324;186;512;13780;11014;24828;0;5962662
44;2020-S22;5;7;12;503;552;1066;09;598364
44;2020-S22;9;8;17;702;771;1478;19;659759
44;2020-S22;31;24;56;1691;1344;3040;29;616448
44;2020-S22;26;19;46;1947;1423;3375;39;675514
44;2020-S22;24;21;45;1889;1328;3218;49;694218
44;2020-S22;34;15;50;2027;1566;3595;59;754610
44;2020-S22;26;20;46;1668;1589;3260;69;703015
44;2020-S22;19;20;39;1349;1540;2891;79;465823
44;2020-S22;40;26;66;1567;1003;2572;89;276017
44;2020-S22;36;6;42;802;248;1054;90;67979
44;2020-S22;250;166;419;14146;11365;25552;0;5511747
52;2020-S22;4;9;14;385;536;983;09;437494
52;2020-S22;9;15;24;454;519;1005;19;496015
52;2020-S22;14;15;29;929;659;1617;29;397640
